Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
,RADISH LEAVES,,,2.4,,,,,,,,265,,0,,0,0,,,,,,0.09,,,,,,22,0,,0,,1,,,,,59,0,,,0,,0,,,,,,,,,,,,0.1
,TABLE RADISH LEAVES,,,4.2,,,,,,,,310,,0,,0,0,,,,,,18,,,,,,0,0,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,0
,RAPE LEAVES,,,4,,,,,,,,100,,0,,0,0,,,,,,1.2,,,,,,0,0,,0,,1,,,,,100,0,,,0,,0,,,,,,,,,,,,0
,RAPE LEAVES,,,5.9,,,,,,,,370,,0,,0,0,,,,,,12.5,,,,,,0,0,,0,,1,,,,,110,0,,,0,,0,,,,,,,,,,,,0
,RAPE LEAVES (dried),,,40.7,,,,,,,,3095,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,500,0,,,0,,0,,,,,,,,,,,,0
108,SAFFLOWER LEAVES,,33,4.5,,2.5,0.6,,,0,,185,3540,235,0,0,0.2,0,0,0,0,,5.7,240,700,,,610,51,0,60,0,0,1,,,,160,35,181,0.1,,126.4,,0,,0,170,,0.4,,,30,0,410,15,0
109,SHEPU,,37,5.2,,3,0.5,,,0,,190,7182,0,25,0,0,0,0,0,0,,17.4,350,290,,,150,0,0,20,0,0.2,1,,,,90,42,0,0.1,,0,,0,,0,120,,0.48,,,30,0,280,0,0
110,SPINACH,leafy_vegetables,26,2.9,,2,0.7,,,350,,73,5580,54,0,0,0.1,80,123,51,140,1.8,1.14,300,530,,,400,64,0.6,110,0,0.5,1,,,,330,21,206,0.3,0.7,58.5,,30,2.5,0,290,,0.32,,,100,310,350,28,0.3
,SPINACH stalks,,,3.8,,,,,,,,90,,0,,0,0,,,,,,1.6,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
,SUSNI SAG,,,4.6,,,,,,,,53,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,91,0,,,0,,0,,,,,,,,,,,,0
113,"TAMARIND LEAVES, tender",,115,18.2,,5.8,2.1,,,370,,101,250,94,0,0,0,60,0,0,140,,0.3,330,580,,,300,26,0.1,80,0,4.1,1,,,,390,140,0,0.2,,0,,63,,0.2,290,,0.92,,,0,220,360,3,0.3
114,TURNIP GREENS,,67,9.4,,4,1.5,,,300,,710,9396,0,0,0,0,70,0,0,120,,28.4,240,410,,,320,0,0,80,0,5.4,1,,,,260,60,0,0.6,,0,,0,,0.3,240,,0.64,,,80,220,280,180,0
,ARROW ROOT FLOUR,,,83.1,,,,,,,,10,,0,,0,0,,,,,,1,,,,,,0,0,,0,,1,,,,,20,20,,,30,,0,,,,,,,,,,,,0
,BANANA RHIZOME,,,11.8,,,,,,,,25,,0,,0,0,,,,,,1.1,,,,,,0,0,,0,,1,,,,,10,0,,,0,,0,,,,,,,,,,,,0
117,BEET ROOT,roots_and_tubers,43,8.8,,1.7,0.1,,,320,,18.3,0,24,242,0,0.3,12,0,0,100,2.6,1.19,200,330,,,410,9,0.2,70,0,0.4,1,,,,210,55,43,0.1,0.9,59.8,,14,3.5,0,250,,0.27,,,60,170,230,10,0.9
118,CARROT,roots_and_tubers,48,10.6,,0.9,0.2,,,250,,80,1890,13,168,0,0.1,60,15,5,90,3,1.03,230,310,,,230,17,0.2,70,0,0.6,1,,,,210,530,108,0,1.4,35.6,,27,4.4,0,210,,0.14,,,40,140,310,3,0.4
119,COLOCASIA,,97,21.1,,3,0.1,,,470,,40,24,0,0,0,0.2,160,54,16,110,,0.42,270,510,,,300,28,0.3,80,0,0.4,1,,,,320,140,550,0,,9,,0,,0.1,280,,0.48,,,110,230,380,0,0.3
,KHAMALU,,,18.1,,,,,,,,16,,0,,0,0,,,,,,0.5,,,,,,0,0,,0,,1,,,,,31,0,,,0,,0,,,,,,,,,,,,0
,MANGO GINGER,,,10.5,,,,,,,,25,,0,,0,0,,,,,,2.6,,,,,,0,0,,0,,1,,,,,90,0,,,0,,0,,,,,,,,,,,,0
122,"ONION, big",,50,11.1,,1.2,0.1,,,170,,46.9,0,0,0,0,0.2,0,6,1.5,70,,0.6,90,170,,,290,16,0.2,70,0,0.4,1,,,,180,50,127,0,,4,,0,,0.1,90,,0.19,,,90,0,140,11,0.4
,"ONION, small",,,12.6,,,,,,,,40,,0,,0,0,,,,,,1.2,,,,,,0,0,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,0
,PARSNIP,,,23.2,,,,,,,,50,,0,,0,0,,,,,,0.5,,,,,,0,0,,0,,1,,,,,40,0,,,0,,0,,,,,,,,,,,,0
125,POTATO,roots_and_tubers,97,22.6,17,1.6,0.1,0.26,0,330,0,10,24,16,100,0,0.2,50,7,3,100,1.1,0.48,270,380,0,9.1,320,30,0.1,90,0.1,1.2,1,1.8,0,2.2,270,40,247,0,0.6,11,0.34,37,1.7,0.1,220,1.9,0.26,9.36,2.54,100,170,310,17,0.5
,"RADISH, pink",,,6.8,,,,,,,,50,,0,,0,0.1,,,,,,0.37,,,,,,196,0.2,,0,,1,,,,,20,10,,,63.5,,0,,,,,,,,,,,,0.7
,RADISH rat-tailed,,,4.3,,,,,,,,78,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,24,0,,,0,,0,,,,,,,,,,,,0
,"RADHISH, table",,,3.2,,,,,,,,20,,0,,0,0,,,,,,1,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
129,"RADISH, white",,17,3.4,,0.7,0.1,,,700,,35,3,0,63,0,0.4,0,0,0,160,,0.4,300,420,,,270,0,0,50,0,0.5,1,,,,270,22,138,0,,33,,0,,0.1,230,,0.11,,,20,0,390,15,0
130,SWEET POTATO,roots_and_tubers,120,28.2,,1.2,0.3,,,280,,46,6,0,0,0,0,30,0,0,90,2.6,0.21,290,360,,,260,27,0.2,100,0,0.7,1,,,,270,50,393,0,1.3,9,,0,3.9,0.1,280,,0.19,,,110,150,380,24,0.1
131,TAPIOCA,,157,38.1,,0.7,0.2,,,580,,50,0,0,0,0,0,90,0,0,110,,0.9,250,300,,,290,0,0,50,0,0.3,1,,,,180,40,0,0.1,,0,,0,,0.1,200,,0.12,,,80,100,240,25,0
,"TAPIOCA, chips, dried",,,82.6,,,,,,,,91,,10,,0,0.2,,,,,,3.6,,,,,,66,0,,0,,1,,,,,70,764,,,7.5,,58,,,,,,,,,,,,0
133,TURNIP,,29,6.2,,0.5,0.2,,,250,,30,0,0,137,0,0,10,0,0,70,,0.4,220,340,,,230,0,0,50,0,0.5,1,,,,180,40,0,0,,0,,0,,0,210,,0.08,,,80,0,230,43,0
,"YAM, elephant",,,18.4,,,,,,,,50,,0,,0,0,,,,,,0.6,,,,,,0,0,,0,,1,,,,,34,0,,,0,,0,,,,,,,,,,,,0
135,"YAM, ordinary",,111,26,,1.4,0.1,,,480,,35,78,0,0,0,0.1,0,17.5,0.9,120,,1.19,230,400,,,280,17,0.1,100,0,0.7,1,,,,300,20,237,0,,9,,0,,0.1,220,,0.22,,,70,200,290,0,0.5
,"YAM, wild",,,24.4,,,,,,,,20,,29,,0,0.2,,,,,,1,,,,,,34,0,,0,,1,,,,,74,450,,,11,,35,,,,,,,,,,,,0
137,ASH GUARD,,10,1.9,,0.4,0.1,,,190,,30,0,0,0,0,0,0,0,0,40,,0.8,350,380,,,70,0,0,60,0,0.4,1,,,,160,20,0,0,,0,,0,,0.1,190,,0.06,,,30,0,310,1,0
,"BEANS, scarlet runner",,,29.8,,,,,,,,50,,0,,0,0,,,,,,2.6,,,,,,0,0,,0,,1,,,,,160,0,,,0,,0,,,,,,,,,,,,0
139,BITTER GOURD,other_vegetables,25,4.2,,1.6,0.2,,,270,,20,126,8,0,0,0.1,0,0,0,80,3.2,0.61,370,420,,,210,36,0.1,150,0,0.5,1,,,,240,70,152,0.1,1.1,17.8,,15,4.3,0.1,250,,0.26,,,40,0,370,88,0.5
,"BITTER GOURD, small",,,10.6,,,,,,,,23,,8,,0,0.1,,,,,,2,,,,,,33,0.1,,0,,1,,,,,38,171,,,2.4,,21,,,,,,,,,,,,0.4
141,BOTTLE GOURD,other_vegetables,12,2.5,,0.2,0.1,,,100,,23,0,5,0,0,0,0,0,0,40,1.7,0.46,320,350,,,350,26,0.1,30,0,0.2,1,,,,140,10,87,0,0.3,1.8,,10,2,0,170,,0.03,,,30,0,230,0,0.2
142,BRINJAL,other_vegetables,24,4,,1.4,0.3,,,210,,18,74,52,52,0,0.1,30,34,5,130,4.6,0.38,270,380,,,330,15,0.1,70,0,0.9,1,,,,250,47,200,0.1,1.7,3,,44,6.3,0,230,,0.22,,,60,240,320,12,0.2
,BROAD BEANS,,,7.2,,,,,,,,50,,43,,0,0.2,,,,,,1.4,,,,,,33,0,,0,,1,,,,,64,39,,,43.5,,53,,,,,,,,,,,,0
144,CAULIFLOWER,other_vegetables,30,4,,2.6,0.4,,,290,,33,30,34,127,0,0.1,0,0,0,120,2.6,1.23,300,440,,,360,18,0.1,100,0,1,1,,,,230,57,138,0.1,1.1,53,,231,3.7,0,260,,0.42,,,90,0,350,56,0.4
,CHO-CHO-MARROW,,,5.7,,,,,,,,140,,0,,0,0,,,,,,0.6,,,,,,0,0,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
,CLUSTER BEANS,,,10.8,,,,,,,,130,,0,,0,0.1,,,,,,1.08,,,,,,47,0.1,,0,,1,,,,,57,0,,,0,,0,,,,,,,,,,,,0.4
,COLOCASIA STEM,,,3.6,,,,,,,,60,,0,,0,0,,,,,,0.5,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
,COW PEA PODS,,,8.1,,,,,,,,72,,0,,0,0,,,,,,2.5,,,,,,0,0,,0,,1,,,,,59,0,,,0,,0,,,,,,,,,,,,0
149,CUCUMBER,other_vegetables,13,2.5,,0.4,0.1,,,470,,10,0,15,0,0,0.1,0,14.7,12.6,90,2,0.6,190,260,,,270,14,0.1,60,0.1,0.2,1,,,,140,25,50,0,0.6,10.2,,17,2.6,0,160,,0.06,,,50,0,210,7,0.2
,DOUBLE BEANS,,,12.3,,,,,,,,40,,0,,0,0,,,,,,2.3,,,,,,0,0,,0,,1,,,,,140,0,,,0,,0,,,,,,,,,,,,0
,DRUM STICK,,,3.7,,,,,,,,30,,423,,0,0,,,,,,0.18,,,,,,28,0.1,,0,,1,,,,,110,259,,,0,,137,,,,,,,,,,,,0.2
,DRUMSTICK flowers,,,7.1,,,,,,,,51,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,90,0,,,0,,0,,,,,,,,,,,,0
,"FIELD BEANS, tender",,,6.7,,,,,,,,210,,31,,0,0.1,,,,,,0.83,,,,,,17,0.1,,0,,1,,,,,68,74,,,55.4,,40,,,,,,,,,,,,0.4
,"FIGS, red (Ficus cunia)",,,10.8,,,,,,,,187,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,39,0,,,0,,0,,,,,,,,,,,,0
155,FRENCH BEANS,,26,4.5,,1.7,0.1,,,280,,50,132,10,0,0,0.1,60,45.5,15.5,150,,0.61,280,430,,,360,38,0.1,80,0,0.3,1,,,,260,28,120,0.1,,4.3,,37,,0.1,250,,0.27,,,90,210,340,24,0.4
,GHOSALA,,,2.9,,,,,,,,36,,0,,0,0,,,,,,1.1,,,,,,0,0,,0,,1,,,,,19,0,,,0,,0,,,,,,,,,,,,0
,GIANT CHILLIES (capsicum),,,4.3,,,,,,,,10,,0,,0,0.1,,,,,,0.567,,,,,,12,0.1,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0.1
158,"JACK, tender",,51,9.4,,2.6,0.3,,,120,,30,0,0,0,0,0,90,0,0,60,,1.7,450,500,,,300,0,0,90,0,0.2,1,,,,480,40,328,0,,35,,0,,0.1,360,,0.42,,,80,0,550,14,0
159,"JACK, fruit seed",,133,25.8,,6.6,0.4,,,0,,50,0,14,52,0,0.2,60,0,0,0,,1.5,300,330,,,360,54,0,50,0,0,1,,,,260,97,246,0,,63.2,,356,,0,270,,1.06,,,70,0,410,0,0
,KANKODA,,,7.7,,,,,,,,33,,0,,0,0,,,,,,4.6,,,,,,0,0,,0,,1,,,,,42,0,,,0,,0,,,,,,,,,,,,0
,KARONDA fresh,,,2.9,,,,,,,,21,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,28,0,,,0,,0,,,,,,,,,,,,0
,KARONDA dry,,,67.1,,,,,,,,160,,0,,0,0,,,,,,39.1,,,,,,0,0,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,0
,KHEKSA,,,6.4,,,,,,,,27,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,38,0,,,0,,0,,,,,,,,,,,,0
,KOVAI,,,3.1,,,,,,,,40,,0,,0,0.1,,,,,,0.38,,,,,,36,0.2,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0.3
,KNOL-KHOL,,,3.8,,,,,,,,20,,67,,0,0.1,,,,,,1.54,,,,,,33,0.1,,0,,1,,,,,35,37,,,112,,143,,,,,,,,,,,,0.2
166,LADIES FINGERS,other_vegetables,35,6.4,,1.9,0.2,,,230,,66,52,41,0,0,0.1,60,105.4,25.3,110,2.6,0.35,150,240,,,210,53,0.2,80,0,0.6,1,,,,140,56,103,0.1,1,6.9,,30,3.6,0.1,140,,0.3,,,40,270,190,13,0.4
,"LAKUCH, raw",,,13.9,,,,,,,,67,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,25,0,,,0,,0,,,,,,,,,,,,0
,LEEKS,,,17.2,,,,,,,,50,,0,,0,0,,,,,,2.3,,,,,,0,0,,0,,1,,,,,70,0,,,0,,0,,,,,,,,,,,,0
,"LOTUS STEM, dry",,,51.4,,,,,,,,405,,444,,0,1.2,,,,,,60.6,,,,,,168,0,,0,,1,,,,,128,3007,,,438,,258,,,,,,,,,,,,0
,MANGO GREEN,,,10.1,,,,,,,,10,,2,,0.1,0,,,,,,0.33,,,,,,16,0.1,,0,,1,,,,,19,83,,,43,,15,,,,,,,,,,,,0.1
,ONION STALKS,,,8.9,,,,,,,,50,,7,,0,0.5,,,,,,7.43,,,,,,104,0.7,,0,,1,,,,,50,109,,,2.2,,33,,,,,,,,,,,,2.3
,PAPAYA GREEN,,,5.7,,,,,,,,28,,0,,0,0,,,,,,0.9,,,,,,0,0,,0,,1,,,,,40,216,,,23,,0,,,,,,,,,,,,0
,PARWAR,,,2.2,,,,,,,,30,,4,,0,1.1,,,,,,1.7,,,,,,9,0,,0,,1,,,,,40,83,,,2.6,,17,,,,,,,,,,,,0
,PINK BEANS,,,7,,,,,,,,54,,47,,0,0.1,,,,,,1.5,,,,,,0,0,,0,,1,,,,,70,117,,,32.2,,182,,,,,,,,,,,,0
,PLANTAIN FLOWER,,,5.1,,,,,,,,32,,68,,0,0.1,,,,,,1.6,,,,,,54,0,,0,,1,,,,,42,185,,,20.1,,68,,,,,,,,,,,,0
176,"PLANTAIN, green",,64,14,,1.4,0.2,,,260,,10,30,6,0,0,0,0,16.4,1.6,280,,6.27,320,340,,,350,13,0.3,40,0,0.3,1,,,,280,29,193,0,,15,,15,,0.1,170,,0.22,,,40,0,280,24,0.1
,"PLANTAIN, stem",,,9.7,,,,,,,,10,,0,,0,0,,,,,,1.1,,,,,,0,0,,0,,1,,,,,10,0,,,0,,0,,,,,,,,,,,,0
178,PUMPKIN,,25,4.6,,1.4,0.1,,,230,,10,50,4,136,0,0.1,0,13,3,100,,0.44,230,330,,,270,38,0.1,50,0,0.5,1,,,,210,30,139,0,,5.6,,16,,0.1,170,,0.2,,,70,0,300,2,0.3
,PUMPKIN flowers,,,5.8,,,,,,,,120,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,0
,RIDGE GOURD,,,3.4,,,,,,,,18,,7,,0,0.1,,,,,,0.39,,,,,,32,0.1,,0,,1,,,,,26,50,,,2.9,,14,,,,,,,,,,,,0.4
,SNAKE GOURD,,,3.3,,,,,,,,26,,21,,0,0.3,,,,,,1.51,,,,,,28,0.1,,0,,1,,,,,20,34,,,25.4,,35,,,,,,,,,,,,0.3
,"SUNDAKAI, dry",,,55,,,,,,,,390,,0,,0,0,,,,,,22.2,,,,,,0,0,,0,,1,,,,,180,0,,,0,,0,,,,,,,,,,,,0
,SWORD BEANS,,,7.8,,,,,,,,60,,0,,0,0,,,,,,2,,,,,,0,0,,0,,1,,,,,40,1800,,,29,,0,,,,,,,,,,,,0
,"TINDA, tender",,,3.4,,,,,,,,25,,44,,0,0.1,,,,,,0.9,,,,,,14,0,,0,,1,,,,,24,24,,,35,,0,,,,,,,,,,,,0
185,"TOMOTO, green",,23,3.6,,1.9,0.1,,,190,,20,192,38,0,0,0.2,0,0,0,50,,1.8,420,210,,,160,15,0,50,0,0.4,1,,,,150,36,114,0,,45.8,,24,,0.1,190,,0.3,,,20,0,270,31,0
,VEGETABLE MARROW,,,3.5,,,,,,,,10,,9,,0,0.2,,,,,,0.6,,,,,,13,0,,0,,1,,,,,30,94,,,27.3,,11,,,,,,,,,,,,0
,"WATER CHEST NUT, fresh",,,23.3,,,,,,,,20,,0,,0,1.3,,,,,,1.35,,,,,,72,0.9,,0,,1,,,,,150,0,,,0,,0,,,,,,,,,,,,1.6
,"WATER CHESTNUT, dry",,,68.9,,,,,,,,70,,0,,0,0,,,,,,2.4,,,,,,0,0,,0,,1,,,,,440,0,,,0,,0,,,,,,,,,,,,0
189,ALMOND,,655,10.5,,20.8,58.9,,,660,,230,0,0,0,0.2,1,50,0,0,140,,5.09,250,450,,,160,373,1.9,100,0,4.4,1,,,,300,490,0,0.6,,0,,0,,0.2,170,,3.33,,,50,180,310,0,3.6
,ARECANUT,,,47.2,,,,,,,,50,,0,,0.4,1.7,,,,,,1.5,,,,,,74.5,2.2,,0,,1,,,,,130,0,,,0,,0,,,,,,,,,,,,0.8
,AVOCADOPEAR (nut),,,32,,,,,,,,20,,0,,0,0,,,,,,1.2,,,,,,0,0,,0,,1,,,,,80,0,,,0,,0,,,,,,,,,,,,0
192,CASHEWNUT,,596,22.3,,21.2,46.9,,,650,,50,60,0,0,0.2,1.7,0,0,0,130,,5.81,320,510,,,290,349,1.4,90,0,1.2,1,,,,270,450,0,0.2,,0,,0,,0.6,200,,3.39,,,110,0,360,0,6
,CHILGOZA,,,29,,,,,,,,91,,0,,0,0,,,,,,3.6,,,,,,0,0,,0,,1,,,,,494,0,,,0,,0,,,,,,,,,,,,0
194,"COCONUT,dry",,662,18.4,,6.8,62.3,,,850,,400,0,0,0,0,1,80,16.5,15.3,130,,7.8,240,430,,,240,0,6.2,100,0,3,1,,,,280,210,0,0,,0,,0,,0.1,18,,1.09,,,70,170,320,7,5
,"COCONUT, fresh",,,13,,,,,,,,10,,0,,0,0,,,,,,1.7,,,,,,0,0,,0,,1,,,,,240,0,,,0,,0,,,,,,,,,,,,0
,COCONUT tender,,,6.3,,,,,,,,10,,0,,0,0,,,,,,0.9,,,,,,0,0,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
,"COCONUT, milk",,,11.9,,,,,,,,15,,0,,0,0,,,,,,1.6,,,,,,0,0,,0,,1,,,,,140,0,,,0,,0,,,,,,,,,,,,0
,"COCONUT, water",,,4.4,,,,,,,,24,,0,,0,0,,,,,,0.1,,,,,,0,0,,0,,1,,,,,10,0,,,0,,0,,,,,,,,,,,,0
,"COCONUT, meal deoiled",,,47.9,,,,,,,,112,,374,,0,0,,,,,,69.4,,,,,,355,0,,0,,1,,,,,646,2003,,,72.5,,431,,,,,,,,,,,,0
,GARDEN CRESS SEEDS,,,33,,,,,,,,377,,41,,0,0,,,,,,100,,,,,,430,0,,0,,1,,,,,723,0,,,0,,1,,,,,,,,,,,,0
201,GINGELLY SEEDS,nuts_and_oil_seeds,563,25,40,18.3,43.3,0.4,0,750,0,1450,60,0,0,0.1,2.3,120,134,51,170,13.6,9.3,250,500,0,16,170,0,1.3,180,0.2,4.4,1,18,0,4,370,570,0,0.3,3.2,0,1.6,0,16.8,1,230,18,2.93,16.4,6,80,230,290,0,12.2
202,GROUNDNUT,nuts_and_oil_seeds,567,26.1,40,25.3,40.1,0.4,0,690,0,90,37,0,224,0,0.9,80,20,16,140,8.5,2.5,240,400,0,16,230,0,1.1,60,0.2,19.9,1,18,0,4,310,350,0,0.1,2.5,0,1.6,0,11,0.9,170,18,4.05,16.4,6,60,240,280,0,3.9
,"GROUNDNUT, roasted",,,26.7,,,,,,,,77,,0,,0,0,,,,,,3.1,,,,,,0,0,,0,,1,,,,,370,0,,,0,,0,,,,,,,,,,,,0
,GROUNDNUT CAKE,,,38.8,,,,,,,,213,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,548,0,,,0,,0,,,,,,,,,,,,0
205,LINSEED,,530,28.9,,20.3,37.1,,,560,,170,30,0,0,0,0,120,0,0,120,,2.7,310,360,,,230,0,0,100,0,1,1,,,,270,370,0,0.1,,0,,0,,0.2,210,,3.25,,,100,180,320,0,0
,MUSTARD SEEDS,,,23.8,,,,,,,,490,,0,,0.1,0.8,,,,,,7.9,,,,,,0,2.6,,0.1,,1,,,,,700,0,,,0,,0,,,,,,,,,,,,4.8
207,NIGER SEEDS,,515,17.1,,23.9,39,,,660,,300,0,0,0,0,0,100,0,0,140,,56.7,250,380,,,230,0,0,90,0,8.4,1,,,,300,224,0,1,,0,,0,,0.1,210,,3.82,,,0,0,320,0,0
208,PISTACHIONUT,,626,16.2,,19.8,53.5,,,590,,140,144,0,0,0,0,110,0,0,140,,7.7,300,550,,,320,0,0,80,0,2.3,1,,,,320,430,0,0.3,,0,,0,,0.7,200,,3.17,,,60,190,370,0,0
209,PIYAL SEEDS,,656,12.1,,19,59.1,,,1230,,279,0,25,0,0,0.9,0,0,0,170,,8.5,350,740,,,240,373,0,100,0,1.5,1,,,,330,528,436,0.5,,10.2,,186,,0.7,200,,3.04,,,70,0,410,5,0
,SAFFLOWER SEEDS,,,17.9,,,,,,,,236,,0,,0,1.6,,,,,,4.6,,,,,,0,1.1,,0.1,,1,,,,,823,0,,,0,,0,,,,,,,,,,,,5.2
211,SUNFLOWER SEEDS,,620,17.9,,19.8,52.1,,,500,,280,0,0,0,0,0,90,0,0,150,,5,270,400,,,230,0,0,120,0,4.5,1,,,,280,670,0,0.2,,0,,0,,0.9,230,,3.17,,,90,120,320,1,0
212,WALNUT,,687,11,,15.6,64.5,,,770,,100,6,0,0,0.1,1.7,0,0,0,120,,2.64,240,470,,,100,302,2.6,80,0,1,1,,,,260,380,0,0.4,,0,,0,,0.5,170,,2.5,,,60,0,280,0,2.3
213,WATER MELON SEEDS (kernal),,628,4.5,,34.1,52.6,,,900,,100,0,0,0,0,0,0,0,0,130,,7.4,310,400,,,170,0,0,160,0,0,1,,,,270,937,0,0,,0,,0,,0,140,,5.46,,,90,0,260,0,0
,ARISITHIPPILI,,,58.4,,,,,,,,460,,0,,0,0,,,,,,13.5,,,,,,0,0,,0,,1,,,,,325,0,,,0,,0,,,,,,,,,,,,0
,ASAFOETIDA,,,67.8,,,,,,,,690,,0,,0.1,0.4,,,,,,39.4,,,,,,80,1.1,,0,,1,,,,,50,0,,,0,,0,,,,,,,,,,,,0.8
,CARDAMOM,,,42.1,,,,,,,,130,,0,,0,0.5,,,,,,4.6,,,,,,173,8.9,,0,,1,,,,,160,0,,,0,,0,,,,,,,,,,,,2.8
,"CHILLIES, dry",,,31.6,,,,,,,,160,,0,,0,0,,,,,,2.3,,,,,,0,0,,0,,1,,,,,370,530,,,14,,0,,,,,,,,,,,,0
,"CHILLIES, green",,,3,,,,,,,,30,,0,,0,1.4,,,,,,4.4,,,,,,272,1.4,,0.1,,1,,,,,80,0,,,0,,0,,,,,,,,,,,,1.8
,"CLOVES, dry",,,46,,,,,,,,740,,0,,0.1,1,,,,,,11.7,,,,,,130,4.8,,0,,1,,,,,100,0,,,0,,0,,,,,,,,,,,,1.5
,"CLOVES, green",,,24.1,,,,,,,,310,,0,,0,0,,,,,,2.1,,,,,,0,0,,0,,1,,,,,40,0,,,0,,0,,,,,,,,,,,,0
,CORIANDER,,,21.6,,,,,,,,630,,0,,0.1,1,,,,,,7.1,,,,,,239,1.7,,0,,1,,,,,393,990,,,32,,0,,,,,,,,,,,,3.3
,CUMIN SEEDS,,,36.6,,,,,,,,1080,,0,,0,0.7,,,,,,11.7,,,,,,475,1,,0,,1,,,,,511,980,,,126,,0,,,,,,,,,,,,2.7
,FENUGREEK SEEDS,,,44.1,,,,,,,,160,,0,,0.1,0.7,,,,,,6.5,,,,,,124,1,,0,,1,,,,,370,530,,,19,,0,,,,,,,,,,,,3.1
,"GARLIC, dry",,,29.8,,,,,,,,30,,0,,0,0.6,,,,,,1.2,,,,,,71,0.9,,0,,1,,,,,310,0,,,0,,0,,,,,,,,,,,,1.9
,"GINGER, fresh",,,12.3,,,,,,,,20,,0,,0.1,0.7,,,,,,3.5,,,,,,405,9.2,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,1.9
,LIME PEEL,,,29.4,,,,,,,,710,,0,,0,0,,,,,,2.7,,,,,,0,0,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,0
,MACE,,,47.8,,,,,,,,180,,0,,0,1.6,,,,,,12.3,,,,,,213,1.5,,0,,1,,,,,100,0,,,0,,0,,,,,,,,,,,,1.3
,MANGO POWDER,,,64,,,,,,,,180,,0,,0,0,,,,,,45.2,,,,,,0,0,,0,,1,,,,,16,0,,,0,,0,,,,,,,,,,,,0
,NUTMEG,,,28.5,,,,,,,,120,,0,,0.2,0.7,,,,,,2.03,,,,,,229,1.8,,0,,1,,,,,240,0,,,0,,0,,,,,,,,,,,,1.2
,NUTMEG rind,,,11.2,,,,,,,,40,,0,,0,0,,,,,,2,,,,,,0,0,,0,,1,,,,,10,0,,,0,,0,,,,,,,,,,,,0
,OMUM,,,24.6,,,,,,,,1525,,0,,0.1,1,,,,,,12.5,,,,,,141,3.4,,0,,1,,,,,443,0,,,0,,0,,,,,,,,,,,,4.5
,"PEPPER, dry",,,49.2,,,,,,,,460,,0,,0.1,1.4,,,,,,12.4,,,,,,171,4.1,,0,,1,,,,,198,0,,,0,,0,,,,,,,,,,,,1.3
,"PEPPER, green",,,13.7,,,,,,,,270,,0,,0,0,,,,,,2.4,,,,,,0,0,,0,,1,,,,,70,0,,,0,,0,,,,,,,,,,,,0
,PEPPALI,,,65.8,,,,,,,,1230,,0,,0,0,,,,,,62.1,,,,,,0,0,,0,,1,,,,,190,0,,,0,,0,,,,,,,,,,,,0
,POPPY SEEDS,,,36.8,,,,,,,,1584,,0,,0.1,0.6,,,,,,15.9,,,,,,257,4.3,,0,,1,,,,,432,0,,,0,,0,,,,,,,,,,,,4.3
,TAMARIND PULP,,,67.4,,,,,,,,170,,0,,0.1,0.2,,,,,,17,,,,,,41,0.6,,0,,1,,,,,110,0,,,0,,0,,,,,,,,,,,,0
