Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
,"WHEAT, semolina",,,74.8,,,,,,,,16,,0,,0,0,,,,,,1.6,,,,,,0,0,,0,,1,,,,,102,83,,,21,,0,,,,,,,,,,,,0
,"WHEAT, vermicelli",,,78.3,,,,,,,,22,,46,,0,0.3,,,,,,2,,,,,,42,0,,0,,1,,,,,92,138,,,7.9,,145,,,,,,,,,,,,0
,"WHEAT, bread, (brown)",,,49,,,,,,,,18,,0,,0,0,,,,,,2.2,,,,,,0,0,,0,,1,,,,,0,0,,,0,,0,,,,,,,,,,,,0
,"WHEAT, bread, (white)",,,51.9,,,,,,,,11,,0,,0,0,,,,,,1.1,,,,,,0,0,,0,,1,,,,,0,0,,,0,,0,,,,,,,,,,,,0
28,"BENGAL GRAM, whole",,360,60.9,,17.1,5.3,,,570,,202,189,58,194,0,1.1,80,186,34,160,,4.6,320,580,,,440,143,1,80,0.2,2.9,1,,,,360,312,808,0.1,,37.3,,179,,0.3,220,,2.74,,,50,180,310,3,4.5
,"BENGAL GRAM, dhal",,,59.8,,,,,,,,56,,39,,0,1.3,,,,,,5.3,,,,,,130,1.1,,0.2,,1,,,,,331,720,,,73.2,,160,,,,,,,,,,,,1.7
,"BENGAL GRAM, roasted",,,58.1,,,,,,,,58,,0,,0,0,,,,,,9.5,,,,,,0,0,,0,,1,,,,,340,0,,,0,,0,,,,,,,,,,,,0
31,"BLACK GRAM, dhal",,347,59.6,,24,1.4,,,520,,154,38,9,206,0,1,80,132,24,170,,3.8,340,500,,,400,142,1,90,0.6,2,1,,,,310,385,800,0.2,,39.8,,174,,0.4,220,,3.84,,,70,140,310,0,3.2
32,COWPEA,,323,54.5,2.9,24.1,1,0.5,0,420,0.08,77,12,10,202,0,0.9,80,133,69,200,,8.6,270,480,0,0.8,430,210,1.3,90,1.9,1.3,1,0.2,0,0.6,320,414,1131,0.2,,23.2,0.1,165,,0.5,230,0.2,3.86,1.3,0.8,70,230,310,0,4.6
33,"FIELD BEAN, dry",,347,60.1,,24.9,0.8,,,530,,60,0,0,352,0,0,80,0,0,180,,2.7,360,550,,,500,0,0,40,0,1.8,1,,,,330,433,0,0.2,,0,,0,,0.5,250,,3.98,,,30,0,310,0,0
