Food Name,Magn-esium,Sodium,Potassium,Copper,Mang-anese,Molyb-denum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosp-horus,Iron,Carbs
CARROT LEAVES,0,0,0,0,0,0,0,0,0,0,340,110,8.8,13.1
CAULIFLOWER LEAVES,0,0,0,0,0,0,0,0,0,0,626,107,40,7.6
CELERY LEAVES,52,35.5,210,0.3,0,0,0,0,102,19,230,140,6.3,1.6
CELERY STALK,0,0,0,0,0,0,0,0,0,0,30,38,4.8,3.5
CHEKKUR MANIS,0,0,0,0,0,0,0,0,0,0,570,200,28,11.6
COLOCASIA LEAVES (black variety),32,0,0,0.2,0,0,0,0,0,72,460,125,0.98,8.1
COLOCASIA LEAVES (green variety),0,0,0,0,0,0,0,0,0,0,227,82,10,6.8
COLACASIA LEAVES (dried),0,0,0,0,0,0,0,0,0,0,1546,308,0,42.3
CORIANDER LEAVES,31,58.3,256,0.1,0.5,1.1,0.3,0,49,43,184,71,1.42,6.3
COW PEA LEAVES,0,0,0,0,0,0,0,0,0,0,290,58,20.1,4.1
CURRY LEAVES,44,0,0,0.1,0.2,0,0.2,0,81,198,830,57,0.93,18.7
DRUMSTICK LEAVES,42,0,259,0.1,0.4,0,0.2,0,137,423,440,70,0.85,12.5
FENUGREEK LEAVES,33,76.1,31,0.1,0.2,0.4,0.4,0,167,165,395,51,1.93,6
"FETID CASSIA, fresh",0,0,0,0,0,0,0,0,0,0,520,39,12.4,5.5
FETID CASSIA (dried),0,0,0,0,0,0,0,0,0,0,3200,292,0,43.5
GARDEN CRESS,0,0,0,0,0,0,0,0,0,0,360,110,28.6,8.7
GARDEN SORREL (sepals),0,0,0,0,0,0,0,0,0,0,130,20,1.7,5.1
GOGU,66,0,0,0.1,0.3,0,0.3,0,60,19,172,40,2.28,9.9
IPOMOEA STEMS,0,0,0,0,0,0,0,0,0,0,80,30,0.8,3.4
IPOMOEA LEAVES,0,0,0,0,0,0,0,0,0,0,110,46,3.9,3.1
KNOL-KHOL GREENS,0,0,0,0,0,0,0,0,0,0,740,50,13.3,6.4
KUPPAMENI,0,0,0,0,0,0,0,0,0,0,667,99,17.3,6
LETTUCE,30,58,33,0.1,0,0,0,0,27,23,50,28,2.4,2.5
