Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg),Energy,Fat value,Protein
COLACASIA LEAVES (dried),0,0,0,0,0,0,0,0,277,5.9,13.7
CORIANDER LEAVES,6918,0.1,0.1,0.8,0,0,135,0,44,0.6,3.3
COW PEA LEAVES,6702,0.1,0.2,0.6,0,0,4,0,38,0.7,3.4
CURRY LEAVES,7560,0.1,0.2,2.3,93.9,23.5,4,0,108,1,6.1
DRUMSTICK LEAVES,6780,0.1,0.1,0.8,0,0,220,0,92,1.7,6.7
FENUGREEK LEAVES,2340,0,0.3,0.8,0,0,52,0,49,0.9,4.4
"FETID CASSIA, fresh",10152,0.1,0.2,0.8,0,0,82,0,49,0.8,5
FETID CASSIA (dried),0,0,0,0,0,0,0,0,292,3.9,20.7
GARDEN CRESS,0,0.1,0,0,0,0,0,0,67,1,5.8
GARDEN SORREL (sepals),0,0,0,0,0,0,0,0,25,0.2,0.6
GOGU,2898,0.1,0.4,1.1,0,0,20,0,56,1.1,1.7
IPOMOEA STEMS,0,0,0,0,0,0,0,0,19,0.2,0.9
IPOMOEA LEAVES,1980,0.1,0.1,0.6,0,0,37,0,28,0.4,2.9
KNOL-KHOL GREENS,4146,0.3,0,3,0,0,157,0,43,0.4,3.5
KUPPAMENI,0,0,0,0,0,0,147,0,64,1.4,6.7
LETTUCE,990,0.1,0.1,0.5,0,0,10,178,21,0.3,2.1
"LETTUCE TREE LEAVES, mature",0,0,0,0,0,0,0,0,65,0.4,5.1
"LETTUCE TREE LEAVES, tender",0,0,0,0,0,0,0,0,29,0.2,3.6
MENATHAKKALI LEAVES,0,0,0.6,0.9,0,0,11,0,68,1,5.9
MAYALU,7440,0,0.2,0.5,0,0,87,0,32,0.4,2.8
MINT,1620,0.1,0.3,1,114,9.7,27,0,48,0.6,4.8
MODAKANTHAN KEERAI,0,0,0,0,0,0,0,0,61,0.6,4.7
MUKARRATE KEERAI,0,0,0,0,0,0,27,0,61,0.9,6.1
MUSTARD LEAVES,2622,0,0,0,0,0,33,0,34,0.6,4
NEERINGI,0,0,0,0,0,0,41,0,68,0.5,7.2
PARSLEY,1920,0,0.2,0.5,0,0,281,0,87,1,5.9
PARUPPU KEERAI,100,0.1,0.2,0.7,0,0,29,0,27,0.6,2.4
PONNANGANNI,1926,0,0.1,1.2,0,0,17,0,73,0.7,5
PUMPKIN LEAVES,0,0,0,0,0,0,0,0,57,0.8,4.6
RADISH LEAVES,5295,0.2,0.5,0.8,0,0,81,0,28,0.4,3.8
TABLE RADISH LEAVES,5742,0.2,0.3,5.5,0,0,106,0,38,0.6,3.9
RAPE LEAVES,0,0,0,0,0,0,0,0,29,0.1,3.1
RAPE LEAVES,1380,0,0,0.9,0,0,65,0,48,0.4,5.1
RAPE LEAVES (dried),0,0,0,0,0,0,0,0,297,2.9,27
SAFFLOWER LEAVES,3540,0,0.1,0,0,0,15,0,33,0.6,2.5
SHEPU,7182,0,0.1,0.2,0,0,0,25,37,0.5,3
SPINACH,5580,0,0.3,0.5,123,51,28,0,26,0.7,2
SPINACH stalks,0,0,0,0,0,0,0,0,20,0.1,0.9
SUSNI SAG,0,0,0,0,0,0,0,0,46,1.4,3.7
"TAMARIND LEAVES, tender",250,0.2,0.2,4.1,0,0,3,0,115,2.1,5.8
TURNIP GREENS,9396,0.3,0.6,5.4,0,0,180,0,67,1.5,4
ARROW ROOT FLOUR,0,0,0,0,0,0,0,0,334,0.1,0.2
BANANA RHIZOME,16,0,0,0.2,0,0,1,0,51,0.2,0.4
BEET ROOT,0,0,0.1,0.4,0,0,10,242,43,0.1,1.7
CARROT,1890,0,0,0.6,15,5,3,168,48,0.2,0.9
COLOCASIA,24,0.1,0,0.4,54,16,0,0,97,0.1,3
KHAMALU,0,0,0,0,0,0,0,0,79,0.1,1.3
MANGO GINGER,20,0,0,0,0,0,1,0,53,0.7,1.1
"ONION, big",0,0.1,0,0.4,6,1.5,11,0,50,0.1,1.2
"ONION, small",15,0.1,0,0.5,0,0,2,0,59,0.1,1.8
PARSNIP,18,0.1,0,0.4,0,0,16,0,101,0.3,1.3
POTATO,24,0.1,0,1.2,7,3,17,100,97,0.1,1.6
"RADISH, pink",3,0.1,0,0.4,0,0,17,0,32,0.3,0.6
RADISH rat-tailed,0,0,0,0,0,0,0,0,25,0.3,1.3
"RADHISH, table",4,0,0,1.4,0,0,21,0,16,0.1,0.5
"RADISH, white",3,0.1,0,0.5,0,0,15,63,17,0.1,0.7
SWEET POTATO,6,0.1,0,0.7,0,0,24,0,120,0.3,1.2
TAPIOCA,0,0.1,0.1,0.3,0,0,25,0,157,0.2,0.7
"TAPIOCA, chips, dried",0,0.2,0.1,1.4,0,0,0,0,338,0.3,1.3
TURNIP,0,0,0,0.5,0,0,43,137,29,0.2,0.5
"YAM, elephant",260,0.1,0.1,0.7,0,0,0,0,79,0.1,1.2
"YAM, ordinary",78,0.1,0,0.7,17.5,0.9,0,0,111,0.1,1.4
"YAM, wild",565,0.2,0.5,1.2,0,0,1,0,110,0.3,2.5
ASH GUARD,0,0.1,0,0.4,0,0,1,0,10,0.1,0.4
"BEANS, scarlet runner",34,0.3,0.2,0,0,0,27,0,158,1,7.4
BITTER GOURD,126,0.1,0.1,0.5,0,0,88,0,25,0.2,1.6
"BITTER GOURD, small",126,0.1,0.1,0.4,0,0,96,0,60,1,2.1
BOTTLE GOURD,0,0,0,0.2,0,0,0,0,12,0.1,0.2
BRINJAL,74,0,0.1,0.9,34,5,12,52,24,0.3,1.4
BROAD BEANS,9,0.1,0,0.8,0,0,12,5,48,0.1,4.5
CAULIFLOWER,30,0,0.1,1,0,0,56,127,30,0.4,2.6
CHO-CHO-MARROW,0,0,0,0.4,0,0,4,0,27,0.1,0.7
CLUSTER BEANS,198,0.1,0,0.6,144,50,49,0,16,0.4,3.2
COLOCASIA STEM,104,0.1,0.1,0.1,0,0,3,0,18,0.3,0.3
COW PEA PODS,564,0.1,0.1,0.9,0,0,14,0,48,0.2,3.5
CUCUMBER,0,0,0,0.2,14.7,12.6,7,0,13,0.1,0.4
DOUBLE BEANS,0,0,0,0,0,0,22,0,85,0.3,8.3
DRUM STICK,110,0.1,0.1,0.2,0,0,120,0,26,0.1,2.5
DRUMSTICK flowers,0,0,0,0,0,0,0,0,50,0.8,3.6
"FIELD BEANS, tender",187,0.1,0.1,0.7,0,0,9,4,48,0.7,3.8
"FIGS, red (Ficus cunia)",0,0,0,0,0,0,0,0,53,0.6,1.2
FRENCH BEANS,132,0.1,0.1,0.3,45.5,15.5,24,0,26,0.1,1.7
GHOSALA,120,0,0.1,0.4,0,0,0,0,18,0.2,1.2
